Modelo,AUC_media,AUC_DE,Brier_media,Brier_DE,DE_prediccion,Convergencia_pct,Repeticiones_validas,Estado,Replica,Prevalencia_observada,Escenario,n,p,Prevalencia,Correlacion
Logit,0.6406325816234354,0.2069927242784462,0.2921118671184396,0.10849328171859493,0.20872188858916207,82.0,82,Dominado,1,0.4,1,30,5,0.5,0.0
Firth,0.6324042328042327,0.19162248217541972,0.28712365638365234,0.09364798193950205,0.18996322921102815,100.0,100,Dominado,1,0.4,1,30,5,0.5,0.0
Elastic Net,0.6737417328042329,0.16676021357586412,0.25486475451916446,0.07116383680856742,0.15180127472006555,100.0,100,No dominado,1,0.4,1,30,5,0.5,0.0
CART,0.6397401124338624,0.1573047554352435,0.3210613180605264,0.09839338204538411,0.274011865660937,100.0,100,No dominado,1,0.4,1,30,5,0.5,0.0
Logit,0.4669110689008648,0.1836400844040443,0.3851668741690301,0.11937888316071019,0.2314851498620647,98.0,98,Dominado,2,0.6,1,30,5,0.5,0.0
Firth,0.46850267556517555,0.17291100085030003,0.35026676732755524,0.10423653706040155,0.19671557304524667,100.0,100,Dominado,2,0.6,1,30,5,0.5,0.0
Elastic Net,0.48671967291967283,0.16814305822717307,0.32886161451449,0.09065391832550335,0.17815444465798722,100.0,100,No dominado,2,0.6,1,30,5,0.5,0.0
CART,0.5042297288359788,0.1577211928261419,0.396734512644359,0.11952514482106441,0.30901696348868885,100.0,100,No dominado,2,0.6,1,30,5,0.5,0.0
Logit,0.5197981397050546,0.16511032507217394,0.3702008952795528,0.08822076944870014,0.23760820828662108,94.0,94,No dominado,3,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.5113961829176114,0.162700724845749,0.3503142500097132,0.077716849091616,0.20607480488647628,100.0,100,Dominado,3,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.5114146919879062,0.16144260798584034,0.3386726562500547,0.06895226102589047,0.17979282631969748,100.0,100,No dominado,3,0.4666666666666667,1,30,5,0.5,0.0
CART,0.4886272439531369,0.1586972768048119,0.4268477666685858,0.13150475243104107,0.33106470143510885,100.0,100,No dominado,3,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.7418110687498441,0.14293977080300224,0.2654742769661263,0.0968095951961568,0.18464216503854078,91.0,91,No dominado,4,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.7131602607709749,0.16297374471477982,0.2642199530262887,0.10018118752524342,0.17562552869526607,100.0,100,No dominado,4,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.680932596371882,0.15917274920525687,0.26378441247349005,0.07841029895270181,0.1640485242312633,100.0,100,No dominado,4,0.4666666666666667,1,30,5,0.5,0.0
CART,0.6052333758503401,0.14111742810692587,0.3421168080536643,0.09481593822430866,0.287881265736634,100.0,100,No dominado,4,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.38288667094222645,0.18645596339525364,0.4245237748015424,0.114695684222874,0.2436253900801881,100.0,99,No dominado,5,0.43333333333333335,1,30,5,0.5,0.0
Firth,0.3797887797094146,0.187663922811793,0.3888902807222585,0.09921344047474326,0.2063318800419341,100.0,99,No dominado,5,0.43333333333333335,1,30,5,0.5,0.0
Elastic Net,0.34454592218481106,0.1680966480743226,0.36773580809016415,0.08508094025565542,0.18616299886433157,100.0,99,No dominado,5,0.43333333333333335,1,30,5,0.5,0.0
CART,0.4411395607625766,0.15149724081918137,0.4430711880175695,0.11538125414179803,0.33149767478990716,100.0,99,No dominado,5,0.43333333333333335,1,30,5,0.5,0.0
Logit,0.9042692280994029,0.07565331920959979,0.1792498283787933,0.08248591181981255,0.1449969066560032,49.0,49,No dominado,6,0.4,1,30,5,0.5,0.0
Firth,0.8325233182161754,0.14435707315206675,0.22291476594836998,0.10723689001651605,0.1716973557766304,100.0,100,Dominado,6,0.4,1,30,5,0.5,0.0
Elastic Net,0.8353910430839001,0.11893891879070506,0.19455834774658937,0.07794474457530334,0.1266351793223505,100.0,100,No dominado,6,0.4,1,30,5,0.5,0.0
